PERMNO,date,PRC
10107,20070103,29.86000
10107,20070104,29.81000
10107,20070105,29.64000
10107,20070108,29.93000
10107,20070109,29.96000
10107,20070110,29.66000
10107,20070111,30.70000
10107,20070112,31.21000
10107,20070116,31.16000
10107,20070117,31.10000
10107,20070118,31.00000
10107,20070119,31.11000
10107,20070122,30.72000
10107,20070123,30.74000
10107,20070124,31.09000
10107,20070125,30.45000
10107,20070126,30.60000
10107,20070129,30.53000
10107,20070130,30.48000
10107,20070131,30.86000
10107,20070201,30.56000
10107,20070202,30.19000
10107,20070205,29.61000
10107,20070206,29.51000
10107,20070207,29.37000
10107,20070208,29.26000
10107,20070209,28.98000
10107,20070212,28.94000
10107,20070213,29.03000
10107,20070214,29.40000
10107,20070215,29.46000
10107,20070216,28.74000
10107,20070220,28.83000
10107,20070221,29.35000
10107,20070222,29.39000
10107,20070223,28.90000
10107,20070226,29.07000
10107,20070227,27.87000
10107,20070228,28.17000
10107,20070301,28.09000
10107,20070302,27.76000
10107,20070305,27.54990
10107,20070306,27.83000
10107,20070307,27.61000
10107,20070308,27.32000
10107,20070309,27.29000
10107,20070312,27.44000
10107,20070313,26.72000
10107,20070314,27.40000
10107,20070315,27.28000
10107,20070316,27.33000
10107,20070319,27.83000
10107,20070320,27.84000
10107,20070321,28.52000
10107,20070322,28.27000
10107,20070323,28.02000
10107,20070326,28.22000
10107,20070327,27.72000
10107,20070328,27.64000
10107,20070329,27.75000
10107,20070330,27.87000
10107,20070402,27.74000
10107,20070403,27.87000
10107,20070404,28.50000
10107,20070405,28.55000
10107,20070409,28.57000
10107,20070410,28.40000
10107,20070411,28.11000
10107,20070412,28.54000
10107,20070413,28.61000
10107,20070416,28.73000
10107,20070417,28.85000
10107,20070418,28.60000
10107,20070419,28.69000
10107,20070420,29.02000
10107,20070423,28.78000
10107,20070424,28.79000
10107,20070425,28.99000
10107,20070426,29.10000
10107,20070427,30.12000
10107,20070430,29.94000
10107,20070501,30.40000
10107,20070502,30.61000
10107,20070503,30.97000
10107,20070504,30.56000
10107,20070507,30.71000
10107,20070508,30.75000
10107,20070509,30.77990
10107,20070510,30.58000
10107,20070511,30.89000
10107,20070514,30.97000
10107,20070515,30.90000
10107,20070516,31.07000
10107,20070517,30.98000
10107,20070518,30.83000
10107,20070521,31.05000
10107,20070522,30.69000
10107,20070523,30.58000
10107,20070524,30.17000
10107,20070525,30.48000
10107,20070529,30.79000
10107,20070530,31.11000
10107,20070531,30.69010
10107,20070601,30.59000
10107,20070604,30.71500
10107,20070605,30.58000
10107,20070606,30.29000
10107,20070607,29.62000
10107,20070608,30.05000
10107,20070611,30.02000
10107,20070612,29.85000
10107,20070613,30.39000
10107,20070614,30.52000
10107,20070615,30.49000
10107,20070618,30.51000
10107,20070619,30.46000
10107,20070620,30.01000
10107,20070621,30.22000
10107,20070622,29.49000
10107,20070625,29.49000
10107,20070626,29.52000
10107,20070627,29.87000
10107,20070628,29.83000
10107,20070629,29.47000
10107,20070702,29.74000
10107,20070703,30.02000
10107,20070705,29.99000
10107,20070706,29.97000
10107,20070709,29.87000
10107,20070710,29.33000
10107,20070711,29.49000
10107,20070712,30.07000
10107,20070713,29.82000
10107,20070716,30.03000
10107,20070717,30.77990
10107,20070718,30.92000
10107,20070719,31.51000
10107,20070720,31.16000
10107,20070723,31.19000
10107,20070724,30.80000
10107,20070725,30.71000
10107,20070726,29.98000
10107,20070727,29.39010
10107,20070730,29.40000
10107,20070731,28.99000
10107,20070801,29.30000
10107,20070802,29.52000
10107,20070803,28.96010
10107,20070806,29.54000
10107,20070807,29.55000
10107,20070808,30.00000
10107,20070809,29.30000
10107,20070810,28.71000
10107,20070813,28.63000
10107,20070814,28.27000
10107,20070815,28.10000
10107,20070816,27.81000
10107,20070817,28.25000
10107,20070820,28.26000
10107,20070821,28.07000
10107,20070822,28.22000
10107,20070823,28.30000
10107,20070824,28.81000
10107,20070827,28.49000
10107,20070828,27.93000
10107,20070829,28.59000
10107,20070830,28.45000
10107,20070831,28.73000
10107,20070904,28.81000
10107,20070905,28.48000
10107,20070906,28.91000
10107,20070907,28.44000
10107,20070910,28.48000
10107,20070911,28.93000
10107,20070912,28.93000
10107,20070913,29.16000
10107,20070914,29.04000
10107,20070917,28.72500
10107,20070918,28.93000
10107,20070919,28.67000
10107,20070920,28.42010
10107,20070921,28.64990
10107,20070924,29.08000
10107,20070925,29.55990
10107,20070926,29.50000
10107,20070927,29.49000
10107,20070928,29.46000
10107,20071001,29.77010
10107,20071002,29.70000
10107,20071003,29.45250
10107,20071004,29.71000
10107,20071005,29.84000
10107,20071008,29.84000
10107,20071009,30.09990
10107,20071010,30.23000
10107,20071011,29.91000
10107,20071012,30.17000
10107,20071015,30.04000
10107,20071016,30.32000
10107,20071017,31.08000
10107,20071018,31.16000
10107,20071019,30.17000
10107,20071022,30.51000
10107,20071023,30.90000
10107,20071024,31.25000
10107,20071025,31.99000
10107,20071026,35.03000
10107,20071029,34.57000
10107,20071030,35.57000
10107,20071031,36.81000
10107,20071101,37.06000
10107,20071102,37.06000
10107,20071105,36.73000
10107,20071106,36.41000
10107,20071107,35.52000
10107,20071108,34.74000
10107,20071109,33.73000
10107,20071112,33.38000
10107,20071113,34.46000
10107,20071114,33.93000
10107,20071115,33.76000
10107,20071116,34.09000
10107,20071119,33.96000
10107,20071120,34.58000
10107,20071121,34.23000
10107,20071123,34.11000
10107,20071126,32.97000
10107,20071127,33.06000
10107,20071128,33.70000
10107,20071129,33.59000
10107,20071130,33.60000
10107,20071203,32.92000
10107,20071204,32.77000
10107,20071205,34.15000
10107,20071206,34.55000
10107,20071207,34.53000
10107,20071210,34.76000
10107,20071211,34.10000
10107,20071212,34.47000
10107,20071213,35.22000
10107,20071214,35.31000
10107,20071217,34.39000
10107,20071218,34.74000
10107,20071219,34.79000
10107,20071220,35.52000
10107,20071221,36.06000
10107,20071224,36.58000
10107,20071226,36.61000
10107,20071227,35.97000
10107,20071228,36.12000
10107,20071231,35.60000
10107,20080102,35.22000
10107,20080103,35.37000
10107,20080104,34.38000
10107,20080107,34.61000
10107,20080108,33.45000
10107,20080109,34.44000
10107,20080110,34.33000
10107,20080111,33.91000
10107,20080114,34.39000
10107,20080115,34.00000
10107,20080116,33.23000
10107,20080117,33.11000
10107,20080118,33.01000
10107,20080122,31.99000
10107,20080123,31.93000
10107,20080124,33.25000
10107,20080125,32.94000
10107,20080128,32.72000
10107,20080129,32.60000
10107,20080130,32.20000
10107,20080131,32.60000
10107,20080201,30.44980
10107,20080204,30.19000
10107,20080205,29.07000
10107,20080206,28.52000
10107,20080207,28.12000
10107,20080208,28.56000
10107,20080211,28.21000
10107,20080212,28.34000
10107,20080213,28.96000
10107,20080214,28.50000
10107,20080215,28.42000
10107,20080219,28.17000
10107,20080220,28.22000
10107,20080221,28.10000
10107,20080222,27.68000
10107,20080225,27.84000
10107,20080226,28.38000
10107,20080227,28.26000
10107,20080228,27.93000
10107,20080229,27.19990
10107,20080303,26.99000
10107,20080304,27.59000
10107,20080305,28.11990
10107,20080306,27.57000
10107,20080307,27.87000
10107,20080310,28.05000
10107,20080311,29.28000
10107,20080312,28.63000
10107,20080313,28.62000
10107,20080314,27.96000
10107,20080317,28.30000
10107,20080318,29.42000
10107,20080319,28.62000
10107,20080320,29.18000
10107,20080324,29.17000
10107,20080325,29.14000
10107,20080326,28.56000
10107,20080327,28.05000
10107,20080328,27.91000
10107,20080331,28.38000
10107,20080401,29.49990
10107,20080402,29.16000
10107,20080403,29.00000
10107,20080404,29.16000
10107,20080407,29.16000
10107,20080408,28.75000
10107,20080409,28.89000
10107,20080410,29.11000
10107,20080411,28.28000
10107,20080414,28.06000
10107,20080415,28.25000
10107,20080416,28.95000
10107,20080417,29.22000
10107,20080418,30.00000
10107,20080421,30.42000
10107,20080422,30.25000
10107,20080423,31.45000
10107,20080424,31.80000
10107,20080425,29.83000
10107,20080428,28.99000
10107,20080429,28.64000
10107,20080430,28.52000
10107,20080501,29.40000
10107,20080502,29.24000
10107,20080505,29.08000
10107,20080506,29.70000
10107,20080507,29.21000
10107,20080508,29.27000
10107,20080509,29.39000
10107,20080512,29.99000
10107,20080513,29.78000
10107,20080514,29.93000
10107,20080515,30.45010
10107,20080516,29.99000
10107,20080519,29.46000
10107,20080520,28.76000
10107,20080521,28.25000
10107,20080522,28.47000
10107,20080523,28.05000
10107,20080527,28.44000
10107,20080528,28.18000
10107,20080529,28.31000
10107,20080530,28.32000
10107,20080602,27.80000
10107,20080603,27.31000
10107,20080604,27.54000
10107,20080605,28.30000
10107,20080606,27.49000
10107,20080609,27.71000
10107,20080610,27.89000
10107,20080611,27.12000
10107,20080612,28.24000
10107,20080613,29.07000
10107,20080616,28.93000
10107,20080617,28.80000
10107,20080618,28.46000
10107,20080619,28.93000
10107,20080620,28.23000
10107,20080623,27.97000
10107,20080624,27.73000
10107,20080625,28.35000
10107,20080626,27.75000
10107,20080627,27.63000
10107,20080630,27.51000
10107,20080701,26.87000
10107,20080702,25.88000
10107,20080703,25.98000
10107,20080707,26.03000
10107,20080708,25.85000
10107,20080709,25.23000
10107,20080710,25.45000
10107,20080711,25.25000
10107,20080714,25.15000
10107,20080715,26.15000
10107,20080716,27.26000
10107,20080717,27.52000
10107,20080718,25.86000
10107,20080721,25.64000
10107,20080722,25.80000
10107,20080723,26.43000
10107,20080724,25.44000
10107,20080725,26.16000
10107,20080728,25.50000
10107,20080729,26.11000
10107,20080730,26.23000
10107,20080731,25.72000
10107,20080801,25.44000
10107,20080804,25.28000
10107,20080805,26.21000
10107,20080806,27.02000
10107,20080807,27.39000
10107,20080808,28.13000
10107,20080811,27.90000
10107,20080812,28.12000
10107,20080813,27.91000
10107,20080814,27.91000
10107,20080815,27.81000
10107,20080818,27.69000
10107,20080819,27.32000
10107,20080820,27.29000
10107,20080821,27.18000
10107,20080822,27.84000
10107,20080825,27.66000
10107,20080826,27.27000
10107,20080827,27.56000
10107,20080828,27.94000
10107,20080829,27.29000
10107,20080902,27.10000
10107,20080903,26.90000
10107,20080904,26.35000
10107,20080905,25.65000
10107,20080908,26.12000
10107,20080909,26.10000
10107,20080910,26.44000
10107,20080911,27.34000
10107,20080912,27.62000
10107,20080915,26.82000
10107,20080916,25.99000
10107,20080917,24.57000
10107,20080918,25.26000
10107,20080919,25.16000
10107,20080922,25.40000
10107,20080923,25.44000
10107,20080924,25.72000
10107,20080925,26.61000
10107,20080926,27.40000
10107,20080929,25.01000
10107,20080930,26.69000
10107,20081001,26.48000
10107,20081002,26.25000
10107,20081003,26.32000
10107,20081006,24.91000
10107,20081007,23.23000
10107,20081008,23.01000
10107,20081009,22.30000
10107,20081010,21.50000
10107,20081013,25.50000
10107,20081014,24.10000
10107,20081015,22.66000
10107,20081016,24.19000
10107,20081017,23.93000
10107,20081020,24.72000
10107,20081021,23.36000
10107,20081022,21.53000
10107,20081023,22.32000
10107,20081024,21.96000
10107,20081027,21.18000
10107,20081028,23.10000
10107,20081029,23.00000
10107,20081030,22.63000
10107,20081031,22.33000
10107,20081103,22.62000
10107,20081104,23.53000
10107,20081105,22.08000
10107,20081106,20.88000
10107,20081107,21.50000
10107,20081110,21.30000
10107,20081111,21.20000
10107,20081112,20.30000
10107,20081113,21.25000
10107,20081114,20.06000
10107,20081117,19.32000
10107,20081118,19.62000
10107,20081119,18.29000
10107,20081120,17.53000
10107,20081121,19.68000
10107,20081124,20.69000
10107,20081125,19.99000
10107,20081126,20.49000
10107,20081128,20.22000
10107,20081201,18.61000
10107,20081202,19.15000
10107,20081203,19.87000
10107,20081204,19.11000
10107,20081205,19.87000
10107,20081208,21.01000
10107,20081209,20.60000
10107,20081210,20.61000
10107,20081211,19.45000
10107,20081212,19.36000
10107,20081215,19.04000
10107,20081216,20.11000
10107,20081217,19.66000
10107,20081218,19.30000
10107,20081219,19.12000
10107,20081222,19.18000
10107,20081223,19.28000
10107,20081224,19.17000
10107,20081226,19.13000
10107,20081229,18.96000
10107,20081230,19.34000
10107,20081231,19.44000
10107,20090102,20.33000
10107,20090105,20.52000
10107,20090106,20.76000
10107,20090107,19.51000
10107,20090108,20.12000
10107,20090109,19.52000
10107,20090112,19.47000
10107,20090113,19.82000
10107,20090114,19.09000
10107,20090115,19.24000
10107,20090116,19.71000
10107,20090120,18.48000
10107,20090121,19.38000
10107,20090122,17.11000
10107,20090123,17.20000
10107,20090126,17.63000
10107,20090127,17.66000
10107,20090128,18.04000
10107,20090129,17.59000
10107,20090130,17.10000
10107,20090202,17.83000
10107,20090203,18.50000
10107,20090204,18.63000
10107,20090205,19.04000
10107,20090206,19.66000
10107,20090209,19.44000
10107,20090210,18.80000
10107,20090211,19.21000
10107,20090212,19.26000
10107,20090213,19.09000
10107,20090217,18.09000
10107,20090218,18.12000
10107,20090219,17.91000
10107,20090220,18.00000
10107,20090223,17.21000
10107,20090224,17.17000
10107,20090225,16.96000
10107,20090226,16.42000
10107,20090227,16.15000
10107,20090302,15.79000
10107,20090303,15.88000
10107,20090304,16.12000
10107,20090305,15.27000
10107,20090306,15.28000
10107,20090309,15.15000
10107,20090310,16.48000
10107,20090311,17.11000
10107,20090312,17.01000
10107,20090313,16.65000
10107,20090316,16.25000
10107,20090317,16.90000
10107,20090318,16.96000
10107,20090319,17.14000
10107,20090320,17.06000
10107,20090323,18.33000
10107,20090324,17.93000
10107,20090325,17.88000
10107,20090326,18.83000
10107,20090327,18.13000
10107,20090330,17.48000
10107,20090331,18.37000
10107,20090401,19.31000
10107,20090402,19.29000
10107,20090403,18.75000
10107,20090406,18.76000
10107,20090407,18.76000
10107,20090408,19.19000
10107,20090409,19.67000
10107,20090413,19.59000
10107,20090414,19.35000
10107,20090415,18.83000
10107,20090416,19.76000
10107,20090417,19.20000
10107,20090420,18.61000
10107,20090421,18.97000
10107,20090422,18.78000
10107,20090423,18.92000
10107,20090424,20.91000
10107,20090427,20.40000
10107,20090428,19.93000
10107,20090429,20.25000
10107,20090430,20.26000
10107,20090501,20.24000
10107,20090504,20.19000
10107,20090505,19.79000
10107,20090506,19.79000
10107,20090507,19.32000
10107,20090508,19.42000
10107,20090511,19.32000
10107,20090512,19.89000
10107,20090513,19.75000
10107,20090514,20.06000
10107,20090515,20.22000
10107,20090518,20.60000
10107,20090519,20.31000
10107,20090520,20.38000
10107,20090521,19.82000
10107,20090522,19.75000
10107,20090526,20.34000
10107,20090527,20.13000
10107,20090528,20.45000
10107,20090529,20.89000
10107,20090601,21.40000
10107,20090602,21.40000
10107,20090603,21.73000
10107,20090604,21.83000
10107,20090605,22.14000
10107,20090608,22.05000
10107,20090609,22.08000
10107,20090610,22.55000
10107,20090611,22.83000
10107,20090612,23.33000
10107,20090615,23.42000
10107,20090616,23.45000
10107,20090617,23.68000
10107,20090618,23.50000
10107,20090619,24.07000
10107,20090622,23.28000
10107,20090623,23.34000
10107,20090624,23.47000
10107,20090625,23.79000
10107,20090626,23.35000
10107,20090629,23.86000
10107,20090630,23.77000
10107,20090701,24.04000
10107,20090702,23.37000
10107,20090706,23.20000
10107,20090707,22.53000
10107,20090708,22.56000
10107,20090709,22.44000
10107,20090710,22.39000
10107,20090713,23.23000
10107,20090714,23.11000
10107,20090715,24.12000
10107,20090716,24.44000
10107,20090717,24.29000
10107,20090720,24.53000
10107,20090721,24.83000
10107,20090722,24.80000
10107,20090723,25.56000
